chapterID,roadmapID,title,description,difficulty,category,prerequisite,order,modifiedDate
100071,100015,"Databases (SQL & NoSQL)","Learn relational and non-relational database design and queries.","Intermediate","Backend","Backend Architecture",2,"2025-11-15"
100072,100015,"Backend Languages","Use Node.js, Go, or Python for building scalable backends.","Intermediate","Backend","Databases (SQL & NoSQL)",3,"2025-11-15"
100073,100015,"Caching Strategies","Implement caching to improve backend performance.","Advanced","Backend","Backend Languages",4,"2025-11-15"
100074,100015,"Backend Security","Secure APIs, databases, and servers with best practices.","Advanced","Backend","Caching Strategies",5,"2025-11-15"
100075,100016,"Introduction to DevOps","Understand DevOps principles, culture, and benefits.","Beginner","DevOps","None",1,"2025-11-15"
100076,100016,"Infrastructure as Code (Terraform)","Learn to automate infrastructure using Terraform.","Intermediate","DevOps","Introduction to DevOps",2,"2025-11-15"
100077,100016,"Containerization with Docker & Kubernetes","Use Docker and Kubernetes for container orchestration.","Intermediate","DevOps","Infrastructure as Code (Terraform)",3,"2025-11-15"
100078,100016,"CI/CD Pipelines","Build CI/CD pipelines using Jenkins, GitLab CI, or GitHub Actions.","Advanced","DevOps","Containerization with Docker & Kubernetes",4,"2025-11-15"
100079,100016,"Monitoring and Logging","Implement monitoring and logging to ensure system reliability.","Advanced","DevOps","CI/CD Pipelines",5,"2025-11-15"
100080,100017,"Introduction to Machine Learning","Learn core ML concepts, algorithms, and workflows.","Beginner","Machine Learning","None",1,"2025-11-15"
100081,100017,"Data Preprocessing","Clean, transform, and prepare data for ML models.","Intermediate","Machine Learning","Introduction to Machine Learning",2,"2025-11-15"
100082,100017,"Model Development and Training","Develop and train ML models using popular libraries.","Intermediate","Machine Learning","Data Preprocessing",3,"2025-11-15"
100083,100017,"MLOps and Model Deployment","Deploy ML models and manage production pipelines with MLOps.","Advanced","Machine Learning","Model Development and Training",4,"2025-11-15"
100084,100017,"Performance Optimization","Optimize ML models for performance, scalability, and cost.","Advanced","Machine Learning","MLOps and Model Deployment",5,"2025-11-15"
100085,100018,"Modern C++ Introduction","Learn C++17/20 features and modern coding standards.","Beginner","C++","None",1,"2025-11-15"
100086,100018,"Object-Oriented Programming","Master classes, inheritance, and polymorphism in C++.","Intermediate","C++","Modern C++ Introduction",2,"2025-11-15"
100087,100018,"Standard Template Library (STL)","Use STL containers, algorithms, and iterators effectively.","Intermediate","C++","Object-Oriented Programming",3,"2025-11-15"
100088,100018,"Multithreading and Concurrency","Implement multithreading and asynchronous programming in C++.","Advanced","C++","Standard Template Library (STL)",4,"2025-11-15"
100089,100018,"C++ Best Practices","Learn high-performance coding, memory management, and low-latency design.","Advanced","C++","Multithreading and Concurrency",5,"2025-11-15"
